o_zone_id,d_zone_id,volume
1,1,0
1,2,100
1,3,100
1,4,500
1,5,200
1,6,300
1,7,500
1,8,800
1,9,500
1,10,1300
1,11,500
1,12,200
1,13,500
1,14,300
1,15,500
1,16,500
1,17,400
1,18,100
1,19,300
1,20,300
1,21,100
1,22,400
1,23,300
1,24,100
2,1,100
2,2,0
2,3,100
2,4,200
2,5,100
2,6,400
2,7,200
2,8,400
2,9,200
2,10,600
2,11,200
2,12,100
2,13,300
2,14,100
2,15,100
2,16,400
2,17,200
2,18,0
2,19,100
2,20,100
2,21,0
2,22,100
2,23,0
2,24,0
3,1,100
3,2,100
3,3,0
3,4,200
3,5,100
3,6,300
3,7,100
3,8,200
3,9,100
3,10,300
3,11,300
3,12,200
3,13,100
3,14,100
3,15,100
3,16,200
3,17,100
3,18,0
3,19,0
3,20,0
3,21,0
3,22,100
3,23,100
3,24,0
4,1,500
4,2,200
4,3,200
4,4,0
4,5,500
4,6,400
4,7,400
4,8,700
4,9,700
4,10,1200
4,11,1400
4,12,600
4,13,600
4,14,500
4,15,500
4,16,800
4,17,500
4,18,100
4,19,200
4,20,300
4,21,200
4,22,400
4,23,500
4,24,200
5,1,200
5,2,100
5,3,100
5,4,500
5,5,0
5,6,200
5,7,200
5,8,500
5,9,800
5,10,1000
5,11,500
5,12,200
5,13,200
5,14,100
5,15,200
5,16,500
5,17,200
5,18,0
5,19,100
5,20,100
5,21,100
5,22,200
5,23,100
5,24,0
6,1,300
6,2,400
6,3,300
6,4,400
6,5,200
6,6,0
6,7,400
6,8,800
6,9,400
6,10,800
6,11,400
6,12,200
6,13,200
6,14,100
6,15,200
6,16,900
6,17,500
6,18,100
6,19,200
6,20,300
6,21,100
6,22,200
6,23,100
6,24,100
7,1,500
7,2,200
7,3,100
7,4,400
7,5,200
7,6,400
7,7,0
7,8,1000
7,9,600
7,10,1900
7,11,500
7,12,700
7,13,400
7,14,200
7,15,500
7,16,1400
7,17,1000
7,18,200
7,19,400
7,20,500
7,21,200
7,22,500
7,23,200
7,24,100
8,1,800
8,2,400
8,3,200
8,4,700
8,5,500
8,6,800
8,7,1000
8,8,0
8,9,800
8,10,1600
8,11,800
8,12,600
8,13,600
8,14,400
8,15,600
8,16,2200
8,17,1400
8,18,300
8,19,700
8,20,900
8,21,400
8,22,500
8,23,300
8,24,200
9,1,500
9,2,200
9,3,100
9,4,700
9,5,800
9,6,400
9,7,600
9,8,800
9,9,0
9,10,2800
9,11,1400
9,12,600
9,13,600
9,14,600
9,15,900
9,16,1400
9,17,900
9,18,200
9,19,400
9,20,600
9,21,300
9,22,700
9,23,500
9,24,200
10,1,1300
10,2,600
10,3,300
10,4,1200
10,5,1000
10,6,800
10,7,1900
10,8,1600
10,9,2800
10,10,0
10,11,4000
10,12,2000
10,13,1900
10,14,2100
10,15,4000
10,16,4400
10,17,3900
10,18,700
10,19,1800
10,20,2500
10,21,1200
10,22,2600
10,23,1800
10,24,800
